date,match,matchtime,venue,result
"Sep 23, Thu","MUMBAI INDIANS vs KOLKATA KNIGHT RIDERS, 34th Match",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders won by 7 wkts
"Sep 24, Fri","ROYAL CHALLENGERS BANGALORE vs CHENNAI SUPER KINGS, 35th Match",7:30 PM,"Sharjah Cricket Stadium, Sharjah",Chennai Super Kings won by 6 wkts
"Sep 25, Sat","DELHI CAPITALS vs RAJASTHAN ROYALS, 36th Match",3:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals won by 33 runs
"Sep 25, Sat","SUNRISERS HYDERABAD vs PUNJAB KINGS, 37th Match",7:30 PM,"Sharjah Cricket Stadium, Sharjah",Punjab Kings won by 5 runs
"Sep 26, Sun","CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 38th Match",3:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings won by 2 wkts
"Sep 26, Sun","ROYAL CHALLENGERS BANGALORE vs MUMBAI INDIANS, 39th Match",7:30 PM,"Dubai International Cricket Stadium, Dubai",Royal Challengers Bangalore won by 54 runs
"Sep 27, Mon","SUNRISERS HYDERABAD vs RAJASTHAN ROYALS, 40th Match",7:30 PM,"Dubai International Cricket Stadium, Dubai",Sunrisers Hyderabad won by 7 wkts
"Sep 28, Tue","KOLKATA KNIGHT RIDERS vs DELHI CAPITALS, 41st Match",3:30 PM,"Sharjah Cricket Stadium, Sharjah",Kolkata Knight Riders won by 3 wkts
"Sep 28, Tue","MUMBAI INDIANS vs PUNJAB KINGS, 42nd Match",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians won by 6 wkts
"Sep 29, Wed","RAJASTHAN ROYALS vs ROYAL CHALLENGERS BANGALORE, 43rd Match",7:30 PM,"Dubai International Cricket Stadium, Dubai",Royal Challengers Bangalore won by 7 wkts
"Sep 30, Thu","SUNRISERS HYDERABAD vs CHENNAI SUPER KINGS, 44th Match",7:30 PM,"Sharjah Cricket Stadium, Sharjah",Chennai Super Kings won by 6 wkts
"Oct 01, Fri","KOLKATA KNIGHT RIDERS vs PUNJAB KINGS, 45th Match",7:30 PM,"Dubai International Cricket Stadium, Dubai",Punjab Kings won by 5 wkts
"Oct 02, Sat","MUMBAI INDIANS vs DELHI CAPITALS, 46th Match",3:30 PM,"Sharjah Cricket Stadium, Sharjah",Delhi Capitals won by 4 wkts
"Oct 02, Sat","RAJASTHAN ROYALS vs CHENNAI SUPER KINGS, 47th Match",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals won by 7 wkts
"Oct 03, Sun","ROYAL CHALLENGERS BANGALORE vs PUNJAB KINGS, 48th Match",3:30 PM,"Sharjah Cricket Stadium, Sharjah",Royal Challengers Bangalore won by 6 runs
"Oct 03, Sun","KOLKATA KNIGHT RIDERS vs SUNRISERS HYDERABAD, 49th Match",7:30 PM,"Dubai International Cricket Stadium, Dubai",Kolkata Knight Riders won by 6 wkts
"Oct 04, Mon","DELHI CAPITALS vs CHENNAI SUPER KINGS, 50th Match",7:30 PM,"Dubai International Cricket Stadium, Dubai",Delhi Capitals won by 3 wkts
"Oct 05, Tue","RAJASTHAN ROYALS vs MUMBAI INDIANS, 51st Match",7:30 PM,"Sharjah Cricket Stadium, Sharjah",Mumbai Indians won by 8 wkts
"Oct 06, Wed","ROYAL CHALLENGERS BANGALORE vs SUNRISERS HYDERABAD, 52nd Match",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad won by 4 runs
"Oct 07, Thu","CHENNAI SUPER KINGS vs PUNJAB KINGS, 53rd Match",3:30 PM,"Dubai International Cricket Stadium, Dubai",Punjab Kings won by 6 wkts
"Oct 07, Thu","KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 54th Match",7:30 PM,"Sharjah Cricket Stadium, Sharjah",Kolkata Knight Riders won by 86 runs
"Oct 08, Fri","SUNRISERS HYDERABAD vs MUMBAI INDIANS, 55th Match",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians won by 42 runs
"Oct 08, Fri","ROYAL CHALLENGERS BANGALORE vs DELHI CAPITALS, 56th Match",7:30 PM,"Dubai International Cricket Stadium, Dubai",Royal Challengers Bangalore won by 7 wkts
"Oct 10, Sun","DELHI CAPITALS vs CHENNAI SUPER KINGS, Qualifier 1",7:30 PM,"Dubai International Cricket Stadium, Dubai",Chennai Super Kings won by 4 wkts
"Oct 11, Mon","ROYAL CHALLENGERS BANGALORE vs KOLKATA KNIGHT RIDERS, Eliminator",7:30 PM,"Sharjah Cricket Stadium, Sharjah",Kolkata Knight Riders won by 4 wkts
"Oct 13, Wed","DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, Qualifier 2",7:30 PM,"Sharjah Cricket Stadium, Sharjah",Kolkata Knight Riders won by 3 wkts
"Oct 15, Fri","CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, Final",7:30 PM,"Dubai International Cricket Stadium, Dubai",Chennai Super Kings won by 27 runs
